date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:46	99/99	---M-Z	200	added ('OK')	text/plain	etag:%22eb460d024e91e352adfec1b35b78df28%22	https://coinfluence.framer.website/robots.txt		(from )
19:24:47	673655/673655	---M-Z	200	added ('OK')	text/html	etag:%224448e3055e99ed3bb139e33b315f6973%22	https://coinfluence.framer.website/	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/index.html	(from )
19:24:48	3744/3744	---MC-	200	added ('OK')	image/png	etag:%22637e16bd87ac885a551a39c54c194d44%22	https://framerusercontent.com/images/pIMBCJDoFNymTdkRW31j2Z1U.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/pIMBCJDoFNymTdkRW31j2Z1U.png	(from https://coinfluence.framer.website/)
19:24:49	4067/4067	---MC-	200	added ('OK')	image/png	etag:%22c4be15d617e00a9878e852871f3fd20a%22	https://framerusercontent.com/images/E6yphaNaxg55ySYjdVkXZTvokXg.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/E6yphaNaxg55ySYjdVkXZTvokXg.png	(from https://coinfluence.framer.website/)
19:24:49	229583/229583	---MC-	200	added ('OK')	image/png	etag:%22092ef42ae0e1c6f854002c4d36438c28%22	https://framerusercontent.com/images/BecFQoKSk2GrI1AYRJXKU4ekZ8.png?scale-down-to=1024	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/BecFQoKSk2GrI1AYRJXKU4ekZ8bf23.png	(from https://coinfluence.framer.website/)
19:24:49	3578051/3578051	---M--	200	added ('OK')	image/png	etag:%222825a87be7550efafeeba4fd23a5c620%22	https://framerusercontent.com/assets/ugoaqlzX8czvniPhQjeEq8jTUic.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/assets/ugoaqlzX8czvniPhQjeEq8jTUic.png	(from https://coinfluence.framer.website/)
19:24:49	222817/222817	---MC-	200	added ('OK')	image/png	etag:%22bec1cd19fe1d5075a006e89b8403e593%22	https://framerusercontent.com/images/ZPAo4xkiwENFmqlM4iUPOx14Enk.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/ZPAo4xkiwENFmqlM4iUPOx14Enk.png	(from https://coinfluence.framer.website/)
19:24:49	9250/9250	---MC-	200	added ('OK')	image/png	etag:%220a02d1280c2efbb52b344fc0be26b4a9%22	https://framerusercontent.com/images/lWf4QsOhmPRDzuTALGkPpU1o.png?scale-down-to=512	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/lWf4QsOhmPRDzuTALGkPpU1o17f5.png	(from https://coinfluence.framer.website/)
19:24:49	72203/72203	---MC-	200	added ('OK')	image/png	etag:%2262197606068c60cf38edd5afb4ce3754%22	https://framerusercontent.com/images/lQGJBduoP8oJ90LDVGaTGoprd4.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/lQGJBduoP8oJ90LDVGaTGoprd4.png	(from https://coinfluence.framer.website/)
19:24:50	205015/205015	---MC-	200	added ('OK')	image/png	etag:%22df835946d5c3b54f3e027e5edd5b28fc%22	https://framerusercontent.com/images/5wJiUNi4SstTqU68tttZQjPio.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/5wJiUNi4SstTqU68tttZQjPio.png	(from https://coinfluence.framer.website/)
19:24:50	367528/367528	---MC-	200	added ('OK')	image/png	etag:%223df922724d6bc7e4b5e67c3c525321c7%22	https://framerusercontent.com/images/mpN6bz0lVeuXPUaKZjgjZTF8.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/mpN6bz0lVeuXPUaKZjgjZTF8.png	(from https://coinfluence.framer.website/)
19:24:50	701329/701329	---M-Z	200	added ('OK')	text/html	etag:%22b4e1e9f945ba538d4a827e3e2749c4ee%22	https://coinfluence.framer.website/about	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/about.html	(from https://coinfluence.framer.website/)
19:24:50	243559/243559	---MC-	200	added ('OK')	image/png	etag:%2287b42f2b34067f652b858766575b2a94%22	https://framerusercontent.com/images/peObXg3NfRvRRg4cAtXJcpFaLnQ.png?scale-down-to=1024	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/peObXg3NfRvRRg4cAtXJcpFaLnQbf23.png	(from https://coinfluence.framer.website/)
19:24:51	52233/52233	---MC-	200	added ('OK')	image/png	etag:%222789eec28716a0dcfa5b9679bd262fd1%22	https://framerusercontent.com/images/dDSlaZDmyNz2AGHhIe2rNgz5UKQ.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/dDSlaZDmyNz2AGHhIe2rNgz5UKQ.png	(from https://coinfluence.framer.website/)
19:24:51	50981/50981	---MC-	200	added ('OK')	image/png	etag:%22bb403ae76daf402b062bc23b29d84fbb%22	https://framerusercontent.com/images/cvXkMfJ4wAvwwyIyUDj8ROtpXg.png?scale-down-to=512	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/cvXkMfJ4wAvwwyIyUDj8ROtpXg17f5.png	(from https://coinfluence.framer.website/)
19:24:52	83180/83180	---M-Z	404	error ('Not%20Found')	text/html	etag:%22ef36cd7ef3281658d39f26f37818feff%22	https://coinfluence.framer.website/&apos;https://framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png&apos;	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/&apos;https_/framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.d.delayed	(from https://coinfluence.framer.website/)
19:24:52	46368/46368	---MC-	200	added ('OK')	image/png	etag:%22d5555835bbe1da1fd838181bbd750fbe%22	https://framerusercontent.com/images/PIcg4cTJ4IGkiVLfWuxnQHKPU.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/PIcg4cTJ4IGkiVLfWuxnQHKPU.png	(from https://coinfluence.framer.website/)
19:24:52	59264/59264	---MC-	200	added ('OK')	image/png	etag:%22ef5807b1016a155c6e2ae1974b2ef44b%22	https://framerusercontent.com/images/297dAxVnAEDCzg5sn5ceauI8cA.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/297dAxVnAEDCzg5sn5ceauI8cA.png	(from https://coinfluence.framer.website/)
19:24:53	89469/89469	---MC-	200	added ('OK')	image/png	etag:%2255c369e4ed1a083b0269ee59b6bf2fae%22	https://framerusercontent.com/images/1mFjaBAo76geordfyFFBUcYn2y0.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/1mFjaBAo76geordfyFFBUcYn2y0.png	(from https://coinfluence.framer.website/)
19:24:53	80902/80902	---MC-	200	added ('OK')	image/png	etag:%22906fc5403a70ff8a74dad1eb5d0e8cb0%22	https://framerusercontent.com/images/SIgAKZaJURPILNmVKNlYCeQbko4.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/SIgAKZaJURPILNmVKNlYCeQbko4.png	(from https://coinfluence.framer.website/)
19:24:53	20582/20582	---MC-	200	added ('OK')	image/png	etag:%224b5fe8dc417b8720b676ffe7bf22c529%22	https://framerusercontent.com/images/iGk4x1NJSVgWzFvuQQADJp9I.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/iGk4x1NJSVgWzFvuQQADJp9I.png	(from https://coinfluence.framer.website/)
19:24:53	17832/17832	---MC-	200	added ('OK')	image/png	etag:%22d407d3b969189a9f99a59481cd4e5a11%22	https://framerusercontent.com/images/99qcDQP7xzsxlgXsq47uID7sAm4.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/99qcDQP7xzsxlgXsq47uID7sAm4.png	(from https://coinfluence.framer.website/)
19:24:54	15504/15504	---MC-	200	added ('OK')	image/png	etag:%2250b669f6c3977f552123832d3b1f2f8f%22	https://framerusercontent.com/images/qCpU7HJtiveCC9wTFuh7L4wc8YM.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/qCpU7HJtiveCC9wTFuh7L4wc8YM.png	(from https://coinfluence.framer.website/)
19:24:54	16312/16312	---MC-	200	added ('OK')	image/png	etag:%22776ece60f7966ced62a031212b8cf21c%22	https://framerusercontent.com/images/GoWNvgKZvVTzmZQKHoh2Ccnk4E.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/GoWNvgKZvVTzmZQKHoh2Ccnk4E.png	(from https://coinfluence.framer.website/)
19:24:54	122629/122629	---MC-	200	added ('OK')	image/png	etag:%226cd4c60b73e399ffd46186c9136be4da%22	https://framerusercontent.com/images/35D1kOvVa7xWKpADl9eZJFMJJs.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/35D1kOvVa7xWKpADl9eZJFMJJs.png	(from https://coinfluence.framer.website/)
19:24:55	156722/156722	---MC-	200	added ('OK')	image/png	etag:%2215968dd6c152d48bf1fcbbc6ea4aa331%22	https://framerusercontent.com/images/n5wrTRRTEgOZQmGx3OHNsuq8A8.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/n5wrTRRTEgOZQmGx3OHNsuq8A8.png	(from https://coinfluence.framer.website/)
19:24:55	16951/16951	---MC-	200	added ('OK')	image/png	etag:%22afcdd366d20acf724dfb27109a533ecd%22	https://framerusercontent.com/images/wTAMX5lXinEKi627YGJAJ5kcvw.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/wTAMX5lXinEKi627YGJAJ5kcvw.png	(from https://coinfluence.framer.website/)
19:24:56	288572/288572	---M-Z	200	added ('OK')	text/html	etag:%22662dbcc0ac30a1fb763433dd66bb5361%22	https://coinfluence.framer.website/contact	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/contact.html	(from https://coinfluence.framer.website/)
19:24:56	319194/319194	---M-Z	200	added ('OK')	text/html	etag:%225b15d488a81a974ed89db477dbacf9a1%22	https://coinfluence.framer.website/news/bitcoin-surges-past-100-000-mark	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/news/bitcoin-surges-past-100-000-mark.html	(from https://coinfluence.framer.website/)
19:24:57	328934/328934	---M-Z	200	added ('OK')	text/html	etag:%22aab9e0d7700b954495cd9c85f43b2954%22	https://coinfluence.framer.website/privacy-policy	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/privacy-policy.html	(from https://coinfluence.framer.website/)
19:24:57	35467/35467	---MC-	200	added ('OK')	image/png	etag:%2295c573bc2a57a818b781b88552dc75e2%22	https://framerusercontent.com/images/THT9yvNKgznJXQJPQl2zfxsQwPw.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/THT9yvNKgznJXQJPQl2zfxsQwPw.png	(from https://coinfluence.framer.website/)
19:24:58	3580307/3580307	---M--	200	added ('OK')	image/png	etag:%22585aae3b071e808b284fd859256ba765%22	https://framerusercontent.com/assets/vVFvxezdL9NC0496JPezRcheskU.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/assets/vVFvxezdL9NC0496JPezRcheskU.png	(from https://coinfluence.framer.website/about)
19:25:00	871969/871969	---MC-	200	added ('OK')	image/png	etag:%22c174424362fd10aa452e31b275cc5035%22	https://framerusercontent.com/images/sqsPq6ethC3mzhNyUkoFvpcU4o.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/sqsPq6ethC3mzhNyUkoFvpcU4o.png	(from https://coinfluence.framer.website/about)
19:25:00	16931/16931	---MC-	200	added ('OK')	image/png	etag:%22ba6eb56a3e50ca8316cff6bbfe195e0d%22	https://framerusercontent.com/images/lKaaStgbmdIe8TfrIkFlKzHazV0.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/lKaaStgbmdIe8TfrIkFlKzHazV0.png	(from https://coinfluence.framer.website/about)
19:25:00	12656/12656	---MC-	200	added ('OK')	image/png	etag:%228d9668cb11b7432df82ad5c22cc71b6a%22	https://framerusercontent.com/images/CPGgYEBeFy4gDXe5dDzh1qjQG1w.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/CPGgYEBeFy4gDXe5dDzh1qjQG1w.png	(from https://coinfluence.framer.website/about)
19:25:00	22320/22320	---MC-	200	added ('OK')	image/png	etag:%228fc853c8d8908e6eff4be20ec6f07b4a%22	https://framerusercontent.com/images/mUVPNgOqhd1MFYjLtFtiBwvxfY.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/mUVPNgOqhd1MFYjLtFtiBwvxfY.png	(from https://coinfluence.framer.website/about)
19:25:01	14849/14849	---MC-	200	added ('OK')	image/png	etag:%22290ccff221f396d0866ba7d7311ad201%22	https://framerusercontent.com/images/BJytCbStiWSy9rxpQ0wU6I3SNiI.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/BJytCbStiWSy9rxpQ0wU6I3SNiI.png	(from https://coinfluence.framer.website/about)
19:25:01	318265/318265	---M-Z	200	added ('OK')	text/html	etag:%2267e900654a62d5e9b2c9091ace48821f%22	https://coinfluence.framer.website/news/nft-craze-goes-mainstream	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/news/nft-craze-goes-mainstream.html	(from https://coinfluence.framer.website/about)
19:25:02	107575/107575	---MC-	200	added ('OK')	image/jpeg	etag:%22eab250abd9cecb000f5bbceb6b98d294%22	https://framerusercontent.com/images/MpvZYDuwcqWjJ8upzGD64AJDuOU.jpg	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/MpvZYDuwcqWjJ8upzGD64AJDuOU.jpg	(from https://coinfluence.framer.website/about)
19:25:02	318739/318739	---M-Z	200	added ('OK')	text/html	etag:%222e5f4aa571a4074746c4af11de223249%22	https://coinfluence.framer.website/news/metaverse-madness	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/news/metaverse-madness.html	(from https://coinfluence.framer.website/about)
19:25:02	165179/165179	---MC-	200	added ('OK')	image/jpeg	etag:%2225cfce21deee1063d6c1d77fc2e8d5f5%22	https://framerusercontent.com/images/QbdaPBIOwpkNAvFjvkHSbJGkqAM.jpg	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/QbdaPBIOwpkNAvFjvkHSbJGkqAM.jpg	(from https://coinfluence.framer.website/about)
19:25:03	169561/169561	---MC-	200	added ('OK')	image/jpeg	etag:%22fa0093bd3661f122064020f1fad4105c%22	https://framerusercontent.com/images/I3NqTcQsbWzUFTpnyR5jUZYsdb4.jpg	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/I3NqTcQsbWzUFTpnyR5jUZYsdb4.jpg	(from https://coinfluence.framer.website/about)
19:25:04	69164/69164	---MC-	200	added ('OK')	image/png	etag:%220e2155738fa0cec61a8eb6d3a6c85660%22	https://framerusercontent.com/images/xcaLKfcjUFroawkvGznP34t9is.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/images/xcaLKfcjUFroawkvGznP34t9is.png	(from https://coinfluence.framer.website/contact)
19:25:04	3479286/3479286	---M--	200	added ('OK')	image/png	etag:%2281e9af6d278e7f3f71922309072990d3%22	https://framerusercontent.com/assets/r26JJBbX6BaNs80XUewn12eM.png	C:/My%20Web%20Sites/Coinfluence/framerusercontent.com/assets/r26JJBbX6BaNs80XUewn12eM.png	(from https://coinfluence.framer.website/contact)
19:25:05	83180/83180	---M-Z	404	error ('Not%20Found')	text/html	etag:%22ef36cd7ef3281658d39f26f37818feff%22	https://coinfluence.framer.website/news/&apos;https://framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png&apos;	C:/My%20Web%20Sites/Coinfluence/coinfluence.framer.website/news/&apos;https_/framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.2b.delayed	(from https://coinfluence.framer.website/news/bitcoin-surges-past-100-000-mark)
